Fact++,Expressivity,Profile,class_count,obj_property_count,dataproperty_count,indiv_count,datatypes_count,Axioms_count,AxiomsLogical_count,Tbox_size,Abox_size,Rbox_size,Tbox_ratio,Abox_ratio,Rbox_ratio,GCI,PCD,NPCD,GCI_Ratio,PCD_Ratio,NPCD_Ratio,MaxNesting,AvgNesting,ClsDisjoinedRatio,ClsWithNominalsRatio,IndivSameRatio,IndivDiffRatio,NominalsTBoxRatio,Intersection,Union,Existentiel,Universal,LeastCardinality,MostCardinality,ExactCardinality,Complement,OneOf,HasValue,HasSelf,IntersectionR,UnionR,ExistentielR,UniversalR,LeastCardinalityR,MostCardinalityR,ExactCardinalityR,avgValuesCard,LogestMCard,LogestLCard,LogestECard,ComplementR,OneOfR,HasValueR,HasSelfR,MaxACC,OntoCCDensity,InversePropRatio,TransitivePropRatio,ReflexivePropRatio,IrreflexivePropRatio,SymmetricPropRatio,AsymmetricPropRatio,FunctionalPropRatio,InverseFuncPropRatio,HierarchyPropRatio,TransitiveObjectProperty,ObjectPropertyDomain,SubObjectPropertyOf,SubClassOf,ClassAssertion,DataPropertyRange,FunctionalObjectProperty,ObjectPropertyRange,InverseFunctionalObjectProperty,InverseObjectProperties,DisjointClasses,FunctionalDataProperty,AttRichness,RRichness,HC_Max_Sibling,HC_Avg_Sibling,C_TangledClass,C_MaxTangledness,C_CENTRALITY,HC_MAX_DEPTH,HC_Cohesion,HP_Max_Sibling,HP_Avg_Sibling,P_Tangledness,MAX_PTangledness,OP_Cohesion,P_CENTRALITY,HP_MAX_DEPTH,HP_Cohesion,Onto_Cohesion,CyclicClsRatio,CyclicClsCount,UI,EUR,CUR,SymmetricObjectProperty,EquivalentClasses,DataPropertyDomain,ObjectPropertyAssertion,SubPropertyChainOf,DisjointUnion,DifferentIndividuals,EquivalentDataProperties,SameIndividual,EquivalentObjectProperties,DataPropertyAssertion,SubDataPropertyOf,ReflexiveObjectProperty,IrrefexiveObjectProperty,AsymmetricObjectProperty,DisjointObjectProperties
Timeout,SHIF(D),DL,1159,13,3,0,3,21617,20442,20282,128,32,99.217,0.003,0.157,0,20194,0,0,99.566,0,25,2.938,4.055,0,0,0,0,85,248,16794,1226,0,0,0,0,0,0,0,0.463,1.351,91.505,6.68,0,0,0,0,0,0,0,0,0,0,0,3,0.302,98.524,0.022,0,0,0,0,10.61,6.804,99.978,0.015,0.034,0.034,98.787,0.626,0.015,0.005,0.034,0.005,0.01,0.43,0.005,0.003,0.005,961,48.125,0,1,0.83,7,0.012,3,1.4,0,1,0,0.189,2,0.179,0.064,0.002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exec_err,SHIF(D),DL,1110,12,1,0,1,21297,20174,20147,0,27,99.866,0,0.134,0,20141,0,0,99.97,0,25,2.944,0.36,0,0,0,0,85,248,16790,1226,0,0,0,0,0,0,0,0.463,1.352,91.504,6.682,0,0,0,0,0,0,0,0,0,0,0,3,0.304,98.546,0,0,0,0,0,10.613,6.805,100,0.01,0.035,0.035,99.836,0,0,0.005,0.035,0.005,0.01,0.03,0,0.001,0.001,961,184.333,0,1,0.867,3,0.005,3,1.4,0,1,0,0.2,2,0.212,0.072,0.002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Correct,SHOIN(D),DL,208,313,4,39,3,2173,1649,403,119,1127,24.439,0.438,68.344,7,288,52,1.737,71.464,12.903,15,3.032,18.269,2.404,0,0,12.821,79,15,153,80,9,0,6,12,5,0,0,22.006,4.178,42.618,22.284,2.507,0,1.671,5.026,0,3,1,3.343,1.393,0,0,13,0.069,100,12.903,0,0,0,0,0,0,100,0.849,18.86,19.406,18.132,5.033,0.243,0,18.86,0,9.824,2.729,0,0.019,0.506,10,2.127,0.483,2,0.047,11,0.041,25,3.2,0.319,3,0,0.074,6,0.023,0.022,2.502,65,1,2,0,0.061,3.578,0.243,2.183,0,0,0,0,0,0,0,0,0,0,0,0
Correct,SHOIN(D),DL,121,239,1,12,1,1547,1187,277,51,859,23.336,0.362,72.367,4,200,24,1.444,72.202,8.664,15,2.823,24.793,2.479,0,0,25,37,9,96,57,2,0,2,5,3,0,0,17.536,4.265,45.498,27.014,0.948,0,0.948,1.583,0,2,0,2.37,1.422,0,0,9,0.085,100,15.924,0,0,0,0,0,0,100,1.011,19.966,20.556,17.523,2.275,0.084,0,19.966,0,10.615,3.454,0,0.008,0.547,7,2.089,0.833,2,0.055,11,0.079,23,3.089,0.418,3,0,0.089,6,0.029,0.036,0.812,14,0,0,0,0.084,2.359,0.084,2.022,0,0,0,0,0,0,0,0,0,0,0,0
Timeout,ALEHIF+,DL,23136,950,0,0,0,61782,37696,35531,0,2165,94.257,0,5.743,1951,22714,8017,5.491,63.927,22.563,28,3.749,0,0,0,0,0,15348,0,29618,0,0,0,0,0,0,0,0,34.132,0,65.868,0,0,0,0,0,0,0,0,0,0,0,0,19,0.067,100,21.082,0,0,0,0,43.97,23.087,99.281,0.154,0,2.541,67.814,0,0,0.894,0,0.894,1.26,0,0,0,0,1492,4.716,0.009,3,0.064,24,0.001,35,4.477,0.105,2,0,0.036,12,0.02,0.01,0.001,1,0,0,0,0,26.443,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Correct,ALEHIF+,DL,2748,413,0,0,0,7897,4736,3937,0,799,83.129,0,16.871,411,2817,661,10.439,71.552,16.789,29,3.914,0,0,0,0,0,1994,0,3449,0,0,0,0,0,0,0,0,36.634,0,63.366,0,0,0,0,0,0,0,0,0,0,0,0,18,0.077,100,5.857,0,0,0,0,63.932,0,100,0.549,0,8.784,68.37,0,0,3.167,0,0,4.371,0,0,0,0,77,4.112,0,1,0.028,13,0.004,12,3.128,0.242,2,0,0.027,10,0.032,0.018,0.005,1,0,0,0,0,14.759,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Timeout,ALEHIF+,DL,6350,162,0,0,0,21229,14717,14498,0,219,98.512,0,1.488,1234,8842,2370,8.512,60.988,16.347,22,3.609,0,0,0,0,0,4645,0,13458,0,0,0,0,0,0,0,0,25.659,0,74.341,0,0,0,0,0,0,0,0,0,0,0,0,12,0.104,75.375,28.184,0,0,0,0,36.677,0,71.095,0.272,0,0.482,74.023,0,0,0.401,0,0,0.333,0,0,0,0,199,5.145,0.016,2,0.032,22,0.003,5,1.543,0.617,2,0,0.032,5,0.016,0.009,0.002,1,0,0,0,0,24.489,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exec_err,SRIQ,DL,56632,198,0,0,0,184312,127483,127309,0,174,99.864,0,0.136,11562,85702,1647,9.082,67.318,1.294,9,2.605,0.459,0,0,0,0,13205,18,50319,0,0,0,18,0,0,0,0,20.776,0.028,79.168,0,0,0,0,0,0,0,2,0,0,0,0,4,0.125,57.479,55.981,0,0,0,0,0,0,88.003,0.014,0.023,0.042,89.899,0,0,0.001,0.024,0,0.01,0.224,0,0,0.002,691,4.494,0.009,8,-0.036,23,0.002,7,1.636,1.01,3,0,0.038,4,0.007,0.003,0.435,1636,0,0,0,0,9.74,0,0,0.023,0,0,0,0,0,0,0,0,0,0,0
Exec_err,SRIF,DL,37963,21,0,0,0,117003,79020,78999,0,21,99.973,0,0.027,7682,48673,0,9.724,61.612,0,7,2.477,0.108,0,0,0,0,7682,0,22297,0,0,0,0,0,0,0,0,25.625,0,74.375,0,0,0,0,0,0,0,0,0,0,0,0,3,0.126,42.216,42.737,0,0,0,0,0,0,57.671,0.004,0.005,0.004,90.197,0,0,0.001,0.005,0,0.003,0.054,0,0,0.001,691,4.068,0.013,8,0.018,16,0.002,2,1.5,0,1,0,0.095,2,0.029,0.01,0.698,1636,0,0,0,0,9.722,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0
Exec_err,SRIF,DL,36495,17,0,0,0,112910,76399,76379,0,20,99.974,0,0.026,7625,46354,0,9.983,60.689,0,11,2.479,0.025,0,0,0,0,7627,1,21311,0,0,0,0,0,0,0,0,26.355,0.003,73.641,0,0,0,0,0,0,0,0,0,0,0,0,5,0.076,40.336,40.336,0,0,0,0,0,0,60.26,0.004,0.005,0.004,89.982,0,0,0.001,0.005,0,0.003,0.008,0,0,0,691,4.088,0.014,8,0.019,16,0.003,2,1.5,0,1,0,0.117,2,0.044,0.016,0.719,1636,0,0,0,0,9.983,0,0,0.004,0.001,0,0,0,0,0,0,0,0,0,0
Exec_err,SHN(D),DL,41,33,37,0,6,441,331,185,0,146,55.891,0,44.109,0,100,0,0,54.054,0,7,2.189,90.244,0,0,0,0,0,3,2,6,6,10,6,0,0,0,0,0,9.091,6.061,18.182,18.182,30.303,18.182,0.33,1,1,1,0,0,0,0,4,0.045,0,0,0,0,0,0,0,0,30,0.302,9.97,1.511,30.211,0,11.178,0,9.97,0,0,25.68,0,0.902,0.541,11,3,2.5,2,0.244,6,0.159,5,5,0,1,0.002,0.156,2,0.019,0.06,7.91,53,0,0,0,0,0,11.178,0,0,0,0,0,0,0,0,0,0,0,0,0
Correct,ALUOI(D),DL,84,11,6,5,2,210,109,75,5,29,68.807,4.208,26.606,0,73,2,0,97.333,2.667,2,2,0,2.381,0,0,100,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,1,0.027,0,0,0,0,0,0,0,0,0,0,10.092,0,66.972,4.587,5.505,0,10.092,0,0.917,0,0,0.071,0.128,13,6.083,0,1,0.151,4,0.079,0,0,0,1,0.001,0,0,0,0.04,0,0,0,0,0,0,1.835,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Correct,ALUN(D),DL,391,636,705,0,1,3684,1953,121,0,1832,6.196,0,93.804,0,121,0,0,100,0,195,2.132,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,100,0,0,0.16,0,1,0,0,0,0,0,1,0.132,0,0,0,0,0,0,0,0,0,0,14.644,0,6.196,0,21.045,4.659,11.316,0,0,0,21.045,1.803,0.646,9,3,0,1,0.024,5,0.004,0,0,0,1,0,0,0,0,0.002,3.317,124,0,0,0,0,0,21.096,0,0,0,0,0,0,0,0,0,0,0,0,0
Correct,SHOIQ(D),DL,538,374,21,20,4,3547,2615,1240,99,1276,47.419,0.145,48.795,35,999,1,2.823,80.565,0.081,10,2.535,17.286,0.558,0,0,5,46,27,337,151,38,7,15,4,1,0,2,7.325,4.299,53.662,24.045,6.051,1.115,2.389,11.723,1,8,3,0.637,0.159,0,0.318,6,0.084,92.883,7.664,0,0,1.277,0,0.182,0.365,75.912,0.765,13.04,11.663,40.994,0.88,0.421,0.076,13.499,0.268,6.807,5.01,0,0.039,0.306,22,2.835,0.186,3,0.039,12,0.032,83,3.315,0.535,3,0,0.219,4,0.013,0.015,3.903,182,2,0,0,1.185,1.415,0.765,2.906,0,0,0,0,0,0,0,0.306,0,0,0,0
Correct,SIN(D),DL,54,19,22,21,4,259,165,59,21,85,35.758,7.713,51.515,0,55,0,0,93.22,0,5,2.119,9.259,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,1,0.119,0,14.286,0,0,0,0,0,0,0,1.212,11.515,0,33.333,12.727,13.333,0,11.515,0,0.606,2.424,0,0.407,0.295,5,2.263,1.887,2,0.067,4,0.087,0,0,0,1,0.001,0,0,0,0.044,2.28,7,0,0,0,0,0,13.333,0,0,0,0,0,0,0,0,0,0,0,0,0
Correct,ALEHI+(D),DL,43,25,6,17174,1,100710,100636,42,100543,51,0.042,0.099,0.051,2,34,4,4.762,80.952,9.524,5,2.476,0,0,0,0,0,6,0,8,0,0,0,0,0,0,0,0,42.857,0,57.143,0,0,0,0,0,0,0,0,0,0,0,0,2,0.167,0,0,0,0,0,0,0,0,62.5,0.001,0.021,0.005,0.036,18.013,0,0,0.018,0,0.002,0,0,0.14,0.3,6,3.091,0,1,0.135,4,0.099,3,1.667,0,1,0.002,0.118,3,0.037,0.046,0,0,0,0,0,0,0.006,0.004,49.024,0,0,0,0,0,0,32.87,0,0,0,0,0
Correct,SROIF(D),DL,2769,61,4,102,1,6401,3568,3337,111,120,93.526,0.087,3.363,214,2584,1,6.413,77.435,0.03,7,2.193,5.887,0.325,0,12.745,99.02,193,13,221,0,0,0,0,0,9,0,0,44.266,2.982,50.688,0,0,0,0,0,0,0,0,0,2.064,0,0,3,0.044,0.905,88.235,0,0,0,0,0.905,0,88.235,0.645,0.504,0.757,83.772,2.859,0.112,0.056,0.392,0,0.42,3.728,0,0.001,0.044,948,5.97,0.072,3,0.342,15,0.006,4,1.8,1.639,2,0,0.071,4,0.037,0.014,0.047,5,0,0,0,0.112,6.026,0.112,0,0,0,0.252,0,0,0,0,0,0.252,0,0,0
Correct,SROIF(D),DL,2748,60,4,102,1,6331,3520,3290,111,119,93.466,0.09,3.381,214,2563,1,6.505,77.903,0.03,7,2.196,5.386,0.328,0,12.745,99.02,193,13,221,0,0,0,0,0,9,0,0,44.266,2.982,50.688,0,0,0,0,0,0,0,0,0,2.064,0,0,3,0.044,0.905,88.235,0,0,0,0,0.905,0,88.235,0.625,0.511,0.767,84.318,2.898,0.114,0.057,0.398,0,0.426,3.04,0,0.001,0.037,924,5.375,0.073,3,0.336,15,0.007,4,1.8,1.667,2,0,0.072,4,0.038,0.015,0.047,5,0,0,0,0.114,6.108,0.114,0,0,0,0.256,0,0,0,0,0,0.256,0,0,0
