JFact,Expressivity,Profile,class_count,obj_property_count,dataproperty_count,indiv_count,datatypes_count,Axioms_count,AxiomsLogical_count,Tbox_size,Abox_size,Rbox_size,Tbox_ratio,Abox_ratio,Rbox_ratio,GCI,PCD,NPCD,GCI_Ratio,PCD_Ratio,NPCD_Ratio,MaxNesting,AvgNesting,ClsDisjoinedRatio,ClsWithNominalsRatio,IndivSameRatio,IndivDiffRatio,NominalsTBoxRatio,Intersection,Union,Existentiel,Universal,LeastCardinality,MostCardinality,ExactCardinality,Complement,OneOf,HasValue,HasSelf,IntersectionR,UnionR,ExistentielR,UniversalR,LeastCardinalityR,MostCardinalityR,ExactCardinalityR,avgValuesCard,LogestMCard,LogestLCard,LogestECard,ComplementR,OneOfR,HasValueR,HasSelfR,MaxACC,OntoCCDensity,InversePropRatio,TransitivePropRatio,ReflexivePropRatio,IrreflexivePropRatio,SymmetricPropRatio,AsymmetricPropRatio,FunctionalPropRatio,InverseFuncPropRatio,HierarchyPropRatio,TransitiveObjectProperty,ObjectPropertyDomain,SubObjectPropertyOf,SubClassOf,ClassAssertion,DataPropertyRange,FunctionalObjectProperty,ObjectPropertyRange,InverseFunctionalObjectProperty,InverseObjectProperties,DisjointClasses,FunctionalDataProperty,AttRichness,RRichness,HC_Max_Sibling,HC_Avg_Sibling,C_TangledClass,C_MaxTangledness,C_CENTRALITY,HC_MAX_DEPTH,HC_Cohesion,HP_Max_Sibling,HP_Avg_Sibling,P_Tangledness,MAX_PTangledness,OP_Cohesion,P_CENTRALITY,HP_MAX_DEPTH,HP_Cohesion,Onto_Cohesion,CyclicClsRatio,CyclicClsCount,UI,EUR,CUR,SymmetricObjectProperty,EquivalentClasses,DataPropertyDomain,ObjectPropertyAssertion,SubPropertyChainOf,DisjointUnion,DifferentIndividuals,EquivalentDataProperties,SameIndividual,EquivalentObjectProperties,DataPropertyAssertion,SubDataPropertyOf,ReflexiveObjectProperty,IrrefexiveObjectProperty,AsymmetricObjectProperty,DisjointObjectProperties
7.492203042618741,SHOIN(D),DL,208,313,4,39,3,2173,1649,403,119,1127,24.439,0.438,68.344,7,288,52,1.737,71.464,12.903,15,3.032,18.269,2.404,0,0,12.821,79,15,153,80,9,0,6,12,5,0,0,22.006,4.178,42.618,22.284,2.507,0,1.671,5.026,0,3,1,3.343,1.393,0,0,13,0.069,100,12.903,0,0,0,0,0,0,100,0.849,18.86,19.406,18.132,5.033,0.243,0,18.86,0,9.824,2.729,0,0.019,0.506,10,2.127,0.483,2,0.047,11,0.041,25,3.2,0.319,3,0,0.074,6,0.023,0.022,2.502,65,1,2,0,0.061,3.578,0.243,2.183,0,0,0,0,0,0,0,0,0,0,0,0
6.98100574072173,SHOIN(D),DL,121,239,1,12,1,1547,1187,277,51,859,23.336,0.362,72.367,4,200,24,1.444,72.202,8.664,15,2.823,24.793,2.479,0,0,25,37,9,96,57,2,0,2,5,3,0,0,17.536,4.265,45.498,27.014,0.948,0,0.948,1.583,0,2,0,2.37,1.422,0,0,9,0.085,100,15.924,0,0,0,0,0,0,100,1.011,19.966,20.556,17.523,2.275,0.084,0,19.966,0,10.615,3.454,0,0.008,0.547,7,2.089,0.833,2,0.055,11,0.079,23,3.089,0.418,3,0,0.089,6,0.029,0.036,0.812,14,0,0,0,0.084,2.359,0.084,2.022,0,0,0,0,0,0,0,0,0,0,0,0
6.171700597410915,SHN(D),DL,41,33,37,0,6,441,331,185,0,146,55.891,0,44.109,0,100,0,0,54.054,0,7,2.189,90.244,0,0,0,0,0,3,2,6,6,10,6,0,0,0,0,0,9.091,6.061,18.182,18.182,30.303,18.182,0.33,1,1,1,0,0,0,0,4,0.045,0,0,0,0,0,0,0,0,30,0.302,9.97,1.511,30.211,0,11.178,0,9.97,0,0,25.68,0,0.902,0.541,11,3,2.5,2,0.244,6,0.159,5,5,0,1,0.002,0.156,2,0.019,0.06,7.91,53,0,0,0,0,0,11.178,0,0,0,0,0,0,0,0,0,0,0,0,0
5.983936280687191,ALUOI(D),DL,84,11,6,5,2,210,109,75,5,29,68.807,4.208,26.606,0,73,2,0,97.333,2.667,2,2,0,2.381,0,0,100,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,1,0.027,0,0,0,0,0,0,0,0,0,0,10.092,0,66.972,4.587,5.505,0,10.092,0,0.917,0,0,0.071,0.128,13,6.083,0,1,0.151,4,0.079,0,0,0,1,0.001,0,0,0,0.04,0,0,0,0,0,0,1.835,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.760414691083428,ALUN(D),DL,391,636,705,0,1,3684,1953,121,0,1832,6.196,0,93.804,0,121,0,0,100,0,195,2.132,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,100,0,0,0.16,0,1,0,0,0,0,0,1,0.132,0,0,0,0,0,0,0,0,0,0,14.644,0,6.196,0,21.045,4.659,11.316,0,0,0,21.045,1.803,0.646,9,3,0,1,0.024,5,0.004,0,0,0,1,0,0,0,0,0.002,3.317,124,0,0,0,0,0,21.096,0,0,0,0,0,0,0,0,0,0,0,0,0
6.855408798609928,SHOIQ(D),DL,538,374,21,20,4,3547,2615,1240,99,1276,47.419,0.145,48.795,35,999,1,2.823,80.565,0.081,10,2.535,17.286,0.558,0,0,5,46,27,337,151,38,7,15,4,1,0,2,7.325,4.299,53.662,24.045,6.051,1.115,2.389,11.723,1,8,3,0.637,0.159,0,0.318,6,0.084,92.883,7.664,0,0,1.277,0,0.182,0.365,75.912,0.765,13.04,11.663,40.994,0.88,0.421,0.076,13.499,0.268,6.807,5.01,0,0.039,0.306,22,2.835,0.186,3,0.039,12,0.032,83,3.315,0.535,3,0,0.219,4,0.013,0.015,3.903,182,2,0,0,1.185,1.415,0.765,2.906,0,0,0,0,0,0,0,0.306,0,0,0,0
6.030685260261263,SIN(D),DL,54,19,22,21,4,259,165,59,21,85,35.758,7.713,51.515,0,55,0,0,93.22,0,5,2.119,9.259,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,1,0.119,0,14.286,0,0,0,0,0,0,0,1.212,11.515,0,33.333,12.727,13.333,0,11.515,0,0.606,2.424,0,0.407,0.295,5,2.263,1.887,2,0.067,4,0.087,0,0,0,1,0.001,0,0,0,0.044,2.28,7,0,0,0,0,0,13.333,0,0,0,0,0,0,0,0,0,0,0,0,0
7.622174594817622,SROIF(D),DL,2769,61,4,102,1,6401,3568,3337,111,120,93.526,0.087,3.363,214,2584,1,6.413,77.435,0.03,7,2.193,5.887,0.325,0,12.745,99.02,193,13,221,0,0,0,0,0,9,0,0,44.266,2.982,50.688,0,0,0,0,0,0,0,0,0,2.064,0,0,3,0.044,0.905,88.235,0,0,0,0,0.905,0,88.235,0.645,0.504,0.757,83.772,2.859,0.112,0.056,0.392,0,0.42,3.728,0,0.001,0.044,948,5.97,0.072,3,0.342,15,0.006,4,1.8,1.639,2,0,0.071,4,0.037,0.014,0.047,5,0,0,0,0.112,6.026,0.112,0,0,0,0.252,0,0,0,0,0,0.252,0,0,0
7.60887062919126,SROIF(D),DL,2748,60,4,102,1,6331,3520,3290,111,119,93.466,0.09,3.381,214,2563,1,6.505,77.903,0.03,7,2.196,5.386,0.328,0,12.745,99.02,193,13,221,0,0,0,0,0,9,0,0,44.266,2.982,50.688,0,0,0,0,0,0,0,0,0,2.064,0,0,3,0.044,0.905,88.235,0,0,0,0,0.905,0,88.235,0.625,0.511,0.767,84.318,2.898,0.114,0.057,0.398,0,0.426,3.04,0,0.001,0.037,924,5.375,0.073,3,0.336,15,0.007,4,1.8,1.667,2,0,0.072,4,0.038,0.015,0.047,5,0,0,0,0.114,6.108,0.114,0,0,0,0.256,0,0,0,0,0,0.256,0,0,0
6.335054251498059,ALCO,DL,133,0,0,19,0,346,213,192,21,0,90.141,4.629,0,16,115,1,8.333,59.896,0.521,7,2.182,28.571,3.008,0,42.105,100,0,13,0,0,0,0,0,0,4,0,0,0,76.471,0,0,0,0,0,0,0,0,0,0,23.529,0,0,1,0.089,0,0,0,0,0,0,0,0,0,0,0,0,61.502,8.92,0,0,0,0,0,20.657,0,0,0.229,18,3.359,0,1,0.131,8,0.076,0,0,0,1,0,0,0,0,0.076,0,0,0,0,0,0,7.981,0,0,0,0,0.939,0,0,0,0,0,0,0,0,0
